COUNTRY,Abortion_scale,Citation,Comment
Afghanistan,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Andorra,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Angola,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Barbados,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Bangladesh,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Bhutan,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Brazil,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Brunei Darussalam,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Central African Republic,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Chile,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,Legislation eliminated all exceptions to prohibition on abortion; availability of defense of necessity highly unlikely
Congo,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Cote d'Ivoire,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Democratic Republic of the Congo,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Dominica,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Dominican Republic,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Egypt,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
El Salvador,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,Legislation eliminated all exceptions to prohibition on abortion; availability of defense of necessity highly unlikely
Gabon,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Guatemala,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Guinea-Bissau,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Haiti,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Honduras,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Indonesia,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Iran (Islamic Republic of),1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Iraq,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Ireland,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Kiribati,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Lao People's Democratic Republic,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Lebanon,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Libya,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Madagascar,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Malawi,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Mali,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Malta,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Marshall Islands,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Mauritania,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Mexico,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Micronesia (Federated States of),0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Myanmar,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Nicaragua,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,Legislation eliminated all exceptions to prohibition on abortion; availability of defense of necessity highly unlikely
Nigeria,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Oman,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Palau,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Panama,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Papua New Guinea,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Paraguay,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Philippines,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
San Marino,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Sao Tome and Principe,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Senegal,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Solomon Islands,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Somalia,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
South Sudan,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Sri Lanka,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Sudan,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Suriname,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Syrian Arab Republic,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
United Republic of Tanzania,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Timor-Leste,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Tonga,0,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Tuvalu,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Uganda,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
United Arab Emirates,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Venezuela (Bolivarian Republic of),1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
West Bank & Gaza Strip,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Yemen,1,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Algeria,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Argentina,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Bahamas,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Benin,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Bolivia (Plurinational State of),2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Botswana,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Burkina Faso,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Burundi,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Cameroon,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Chad,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Colombia,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Comoros,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Costa Rica,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Djibouti,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Ecuador,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Equatorial Guinea,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Eritrea,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Ethiopia,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Gambia,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Ghana,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Grenada,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Guinea,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Israel,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Jamaica,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Jordan,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Kenya,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Kuwait,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Liberia,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Liechtenstein,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Lesotho,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Malaysia,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Maldives,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Mauritius,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Monaco,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Morocco,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Mozambique,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Namibia,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Nauru,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
New Zealand,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Niger,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Northern Ireland,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Pakistan,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Peru,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Poland,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Qatar,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Republic of Korea,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Rwanda,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Saint Kitts & Nevis,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Saint Lucia,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Samoa,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Saudi Arabia,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Seychelles,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Sierra Leone,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Swaziland,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Thailand,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Togo,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Trinidad and Tobago,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Vanuatu,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Zimbabwe,2,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Barbados,3,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Belize,3,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Cyprus,3,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Fiji,3,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Finland,3,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
United Kingdom of Great Britain and Northern Ireland,3,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Hong Kong,3,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Iceland,3,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
India,3,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Japan,3,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Saint Vincent and the Grenadines,3,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Taiwan,3,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Zambia,3,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Albania,4,www.un.org/esa/population/publications/abortion/doc/albani1.doc,"12 weeks uninhibited, up to  22weeks based on 2 person panel decision"
Armenia,4,www.un.org/esa/population/publications/abortion/doc/armenia1.doc,"12 weeks uninhibited, up to 28 weeks for special circumstances or by committee approval. Lack of family planning leads to high abortion rate"
Australia,5,www.un.org/esa/population/publications/abortion/doc/austra1.doc,"20th week must be approved by 2 doctors, after the 20th week for health risks to the mother (–FS)"
Austria,4,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Azerbaijan,4,www.un.org/esa/population/publications/abortion/doc/azerba1.doc,"12 weeks uninhibited, up to 28 weeks for special circumstances or by committee approval. Lack of family planning leads to high abortion rate"
Bahrain,3,www.un.org/esa/population/publications/abortion/doc/bahrain1.doc,Abortions must be performed by a licensed physician after consultation with a panel of physicians.
Belarus,4,www.un.org/esa/population/publications/abortion/doc/belarus1.doc,"12 weeks uninhibited, up to 28 weeks for special circumstances or by committee approval. Lack of family planning leads to high abortion rate"
Belgium,4,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Bosnia and Herzegovina,4,www.un.org/esa/population/publications/abortion/doc/bosnia1.doc,"10 weeks uninhibited, special authorization after that"
Bulgaria,4,www.un.org/esa/population/publications/abortion/doc/bulgaria1.doc,"12 weeks uninhibited, 12-20 weeks special case, 20 weeks usually to save mother only"
Cambodia,4,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Canada,6,www.un.org/esa/population/publications/abortion/doc/canada1.doc,
Cabo Verde,4,www.un.org/esa/population/publications/abortion/doc/capeve1.doc,12 weeks uninhibited
China,6,www.un.org/esa/population/publications/abortion/doc/chinas1.doc,Up to six months
Croatia,4,"www.un.org/esa/population/publications/abortion/doc/croati1.doc written decree of intent by mother till 10 weeks, commission approval after that (PA)",
Cuba,4,www.un.org/esa/population/publications/abortion/doc/cubasr1.doc,"at less than five weeks, menstruation induced. 10-12 weeks, pregnancy test and consent of mother, after 12 weeks case must be authorized by a committee of obstetricians  (PA)"
Czech Republic,4,www.un.org/esa/population/publications/abortion/doc/czecho1.doc,"12 weeks with physician and mother approvale, up to 26 weeks by commission approval. (PA)"
Democratic People's Republic of Korea,6,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Denmark,4,www.un.org/esa/population/publications/abortion/doc/denmar1.doc,"12 weeks in clinic that is attached to hospital or hospital, commission approval or serious medical condition up after."
Estonia,4,www.un.org/esa/population/publications/abortion/doc/estoni1.doc,"12 weeks in clinic that is attached to hospital or hospital, doctor consultation after 12 weeks."
France,4,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
The former Yugoslav republic of Macedonia,4,www.un.org/esa/population/publications/abortion/doc/macedonia.doc,"written decree of intent by mother till 10 weeks, doctor and social worker approval after that (PA)"
Georgia,4,www.un.org/esa/population/publications/abortion/doc/georgia.doc,"12 weeks on request, up to 28 weeks with commission approval"
Germany,4,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Greece,4,www.un.org/esa/population/publications/abortion/doc/greece.doc,"12 weeks on request, up to 20+ weeks due to serious fetal abnormalities"
Guyana,3,www.un.org/esa/population/publications/abortion/doc/guyana.doc,restrictive special circumstances
Hungary,4,www.un.org/esa/population/publications/abortion/doc/hungary.doc,12 weeks on request
Italy,4,www.un.org/esa/population/publications/abortion/doc/italy.doc,2 months
Kazakhstan,4,www.un.org/esa/population/publications/abortion/doc/kazakh.doc,"12 weeks on request, up to 28 weeks with commission approval"
Kosovo,4,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Kyrgyzstan,4,www.un.org/esa/population/publications/abortion/doc/kyrgyz.doc,"12 weeks on request, up to 28 weeks with commission approval"
Latvia,4,www.un.org/esa/population/publications/abortion/doc/latvia.doc,"12 weeks on request, after with commission approval"
Lithuania,4,www.un.org/esa/population/publications/abortion/doc/lithuania.doc,"12 weeks on request, after with commission approval"
Luxembourg,4,www.un.org/esa/population/publications/abortion/doc/luxemb.doc,"12 weeks on request with consultation, after serious health risks to mother only"
Republic of Moldova,4,www.un.org/esa/population/publications/abortion/doc/moldova.doc,"12 weeks upon request, up to 28 weeks with commission approval"
Mongolia,4,www.un.org/esa/population/publications/abortion/doc/mongolia.doc,12 weeks with approval of family or spouse is required
Montenegro,4,https://www.hsph.harvard.edu/population/abortion/MONTENEGRO.abo.htm,10 weeks on request
Nepal,3,www.un.org/esa/population/publications/abortion/doc/nepal.doc,The laws are unclear and majority of abortions are done using dangerous folk methods
Netherlands,6,www.un.org/esa/population/publications/abortion/doc/nether.doc,at anytime during pregnancy as long as the clinic or hospital is licensed to do so.
Norway,4,www.un.org/esa/population/publications/abortion/doc/norway.doc,"12 weeks upon request, after with approval of 2 physicians"
Portugal,4,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Romania,4,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Russian Federation,4,www.un.org/esa/population/publications/abortion/doc/russia.doc,"12 weeks upon request, up to 28 weeks with committee approval"
Serbia,4,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,"12 weeks upon request,"
Singapore,6,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Slovakia,4,www.un.org/esa/population/publications/abortion/doc/slovakia.doc,12 weeks upon request
Slovenia,4,www.un.org/esa/population/publications/abortion/doc/slovenia.doc,"10 weeks upon request, after that consultation with commission"
South Africa,6,http://www.un.org/esa/population/publications/abortion/doc/southafrica.doc,"three stage restriction, unrestricted up to 12 weeks, some restriction up to 20 weeks, there after, for risks to mothers health or fetal deformation."
Spain,4,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Sweden,5,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Switzerland,4,http://www.un.org/esa/population/publications/abortion/doc/switzerland.doc,"law is regional, in practice, usually first term abortions are performed. Cases are determined by regional cantons, old laws leave the determination up to cantons. liberalization has occurred in many regions but there are still some regions that are highly restrictive."
Tajikistan,4,http://www.un.org/esa/population/publications/abortion/doc/tajikistan.doc,"upon request up to 12 weeks, up to 28 weeks with commission approval"
Tunisia,4,http://www.un.org/esa/population/publications/abortion/doc/tunisia.doc,upon request up to 12 weeks
Turkey,4,https://www.reproductiverights.org/sites/crr.civicactions.net/files/documents/AbortionMap_Factsheet_2013.pdf,
Turkmenistan,4,http://www.un.org/esa/population/publications/abortion/doc/turkmenistan.doc,"upon request up to 12 weeks, up to 28 weeks with commission approval"
Ukraine,4,http://www.un.org/esa/population/publications/abortion/doc/ukraine.doc,"upon request up to 12 weeks, up to 28 weeks with commission approval"
United States of America,5,http://www.un.org/esa/population/publications/abortion/doc/unitedstates.doc,"Roe v Wade sets precedent for trimester determination by states. In practice, first trimester abortions are fairly well protected. Constitutionally, abortions should be protected until the second trimester. Restrictions are set by the states as long as it is not an ‘undue burden’ to women. As of 1977, federal funds cannot be used to pay for abortions unless patient receives Medicaid patient and has a life-endangering pregnancy or pregnancy caused by rape or incest."
Uruguay,3,http://www.un.org/esa/population/publications/abortion/doc/uruguay.doc,12 weeks restricted
Uzbekistan,4,http://www.un.org/esa/population/publications/abortion/doc/uzbekistan.doc,"upon request up to 12 weeks, up to 28 weeks with commission approval"
Viet Nam,6,http://www.un.org/esa/population/publications/abortion/doc/vietnam.doc,"Very few restrictions, there is a large emphasis on family planning in the country with the ultimate goal of drastically reducing the fertility rate. In 1982, the two children policy was instituted"
