State,code,total exports
Alabama,AL,"1,237.10"
Alaska,AK,16.8
Arizona,AZ,"1,377.80"
Arkansas,AR,"3,110.00"
California,CA,"22,547.00"
Colorado,CO,"1,613.40"
Connecticut,CT,244
Delaware,DE,252.5
Florida,FL,"3,540.00"
Georgia,GA,"2,888.50"
Hawaii,HI,383.7
Idaho,ID,"1,877.20"
Illinois,IL,"7,999.40"
Indiana,IN,"4,563.70"
Iowa,IA,"9,971.20"
Kansas,KS,"4,143.00"
Kentucky,KY,"2,117.40"
Louisiana,LA,"1,528.40"
Maine,ME,260.7
Maryland,MD,647.2
Massachussetts,MA,176.1
Michigan,MI,"2,801.60"
Minnesota,MN,"6,280.70"
Mississippi,MS,"1,867.30"
Missouri,MO,"3,604.70"
Montana,MT,"1,198.90"
Nebraska,NE,"6,385.10"
Nevada,NV,138.4
New Hampshire,NH,81.9
New Jersey,NJ,505.4
New Mexico,NM,756.1
New York,NY,"1,466.60"
North Carolina,NC,"3,542.10"
North Dakota,ND,"4,068.40"
Ohio,OH,"3,641.40"
Oklahoma,OK,"1,523.30"
Oregon,OR,"1,881.40"
Pennsylvania,PA,"2,040.30"
Rhode Island,RI,35.1
South Carolina,SC,793.5
South Dakota,SD,"3,719.90"
Tennessee,TN,"1,464.30"
Texas,TX,"6,063.90"
Utah,UT,420.1
Vermont,VT,196
Virginia,VA,"1,052.70"
Washington,WA,"3,794.20"
West Virginia,WV,143.1
Wisconsin,WI,"2,777.70"
Wyoming,WY,313.3